# Object final SED
#
# Object = wray+15-1880 
# RA = 280.7415890118799 deg
# DEC = -35.5452296557600 deg
# Av = 1.3299928154 
#
#             FilterID         Wavelength               Obs.Flux              Obs.Error                   Flux                  Error    Excess    Point Props                       Service               dis (VO)            dis_2 (VO)    Nobjs    Obs.Qua (VO)               RA (VO)               DEC (VO)     mag (VO)    e_mag (VO) 
#                (---)                (A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)          (erg/s/cm2/A)     (---)          (---)                         (---)                  (deg)                 (deg)    (---)           (---)                 (deg)                  (deg)        (---)         (---) 
#==========================================================================================================================================================================================================================================================================================================================================
         TYCHO/TYCHO.B               4280    3.3168130367417E-14    1.1853003083216E-14    1.7826768732007E-13    6.3705955808664E-14         0            ---                       tycho.B    0.00011902413052665                   ---        1             ---        280.7414502879         -35.5451918875       13.232         0.388 
          Misc/APASS.B    4299.2376426776    3.5068539909265E-14     4.037414861407E-15    1.8029037280866E-13    2.0756696241978E-14         0            ---                       apass.B     0.0002931665265643                   ---        1             ---          280.74188900           -35.54539204       13.157         0.125 
          SLOAN/SDSS.g    4671.7822137652    4.3710946871218E-14    3.6233342879876E-15     1.932844334067E-13    1.6021938782523E-14         0            ---                       apass.g     0.0002931665265643                   ---        1             ---          280.74188900           -35.54539204       12.629         0.090 
        GAIA/GAIA3.Gbp    5035.7502754443    4.4237194801721E-14    8.5941239305045E-16    1.7118261552442E-13    3.3256281714037E-15         0            ---               gaiadr3_viz.Gbp    0.00012005769749357    0.0010558353269416        2             ---       280.74159608941        -35.54534957142    12.411787      0.021093 
         TYCHO/TYCHO.V               5340    6.9617977340188E-14    1.2567623239308E-14    2.5489142127071E-13     4.601368025688E-14         0            ---                       tycho.V    0.00011902413052665                   ---        1             ---        280.7414502879         -35.5451918875       11.897         0.196 
          Misc/APASS.V    5393.8524555216    5.5660070362892E-14    3.8448614487779E-15    1.9466670378157E-13    1.3447099506892E-14         0            ---                       apass.V     0.0002931665265643                   ---        1             ---          280.74188900           -35.54539204       12.069         0.075 
          GAIA/GAIA3.G    5822.3887136979    5.1346309433864E-14    2.6327288651298E-16    1.4907227468725E-13    7.6435265725417E-16         0            ---                 gaiadr3_viz.G    0.00012005769749357    0.0010558353269416        2             ---       280.74159608941        -35.54534957142    11.720253      0.005567 
          SLOAN/SDSS.r    6141.1230039377     6.261538129907E-14    4.7493434552326E-15    1.8349938390165E-13     1.391833092591E-14         0            ---          calc:apass.r,cmc15.r     0.0002931665265643                   ---        1             ---                   ---                    ---          ---           --- 
          SLOAN/SDSS.i     7457.889035897    6.6234763549391E-14    3.4162504137846E-15    1.5033181137688E-13     7.753800048494E-15         0            ---                       apass.i     0.0002931665265643                   ---        1             ---          280.74188900           -35.54539204       11.167         0.056 
        GAIA/GAIA3.Grp    7619.9599926215    5.6269009649881E-14    6.8544635277693E-16    1.2267211392859E-13    1.4943421539314E-15         0            ---               gaiadr3_viz.Grp    0.00012005769749357    0.0010558353269416        2             ---       280.74159608941        -35.54534957142    10.883002      0.013226 
         2MASS/2MASS.J              12350    4.9637004315422E-14    1.1886516324548E-15    7.2015295010953E-14    1.7245419855018E-15         0            ---                       2mass.J      2.955093006933E-5                   ---        1               A          280.74157100           -35.54520400        9.499         0.026 
         2MASS/2MASS.H              16620    3.7207450261079E-14    1.5078504376228E-15    4.7051471433365E-14    1.9067842943759E-15         0            ---                       2mass.H      2.955093006933E-5                   ---        1               A          280.74157100           -35.54520400        8.709         0.044 
        2MASS/2MASS.Ks              21590    2.3107239962323E-14    5.1078130826382E-16    2.6919458306733E-14    5.9504969672216E-16         0            ---                       2mass.K      2.955093006933E-5                   ---        1               A          280.74157100           -35.54520400        8.170         0.024 
          WISE/WISE.W1              33526    7.1577745571042E-15    1.7083051873537E-16    7.8108546535684E-15    1.8641720853185E-16         1            ---    calc:neowise.W1,allwise.W1     8.1059052322682E-5                   ---        5             mix                   ---                    ---          ---           --- 
