sed_wl_um,sed_freq_GHz,sed_flux_Jy,sed_eflux_Jy
2.16,138550.0,0.364,0.008
1.65,181750.0,0.345,0.014
1.24,241960.0,0.25,0.006
1.65,181750.0,0.345,
1.24,241960.0,0.25,
0.444,674900.0,0.0217,0.008
2.16,138550.0,0.364,
0.554,541430.0,0.0706,
0.444,674900.0,0.0287,
2.16,138550.0,0.364,0.007
1.65,181750.0,0.345,0.013
1.24,241960.0,0.25,0.007
0.673,445460.0,0.0715,
0.532,563630.0,0.0655,0.012
0.42,713280.0,0.0201,0.0073
0.673,445460.0,0.0715,0.0005
0.772,388100.0,0.112,0.002
0.623,481500.0,0.0656,0.0003
0.505,594100.0,0.0357,0.0009
0.762,393400.0,0.113,0.001
0.582,514900.0,0.0662,0.0003
0.504,595300.0,0.0385,0.0007
22.1,13571.0,0.446,0.01
11.6,25934.0,0.157,0.002
4.6,65172.0,0.198,0.004
3.35,89490.0,0.269,0.007
2.16,138550.0,0.0257,0.0
1.24,241960.0,0.0457,0.0
0.902,332440.0,0.145,0.003
0.763,392660.0,0.124,0.006
0.673,445460.0,0.0305,0.0007
0.673,445460.0,0.129,0.002
0.673,445460.0,0.06,0.0003
0.625,479900.0,0.0831,0.0061
0.482,621980.0,0.0323,0.0027
0.352,851920.0,0.00517,0.00029
2.19,136890.0,0.35,0.002
2.19,136890.0,0.352,0.008
1.63,183920.0,0.326,0.006
1.63,183920.0,0.342,0.014
1.25,239830.0,0.253,0.002
1.25,239830.0,0.255,0.006
18.4,16302.0,0.299,0.022
8.61,34819.0,0.242,0.014
22.1,13571.0,0.451,0.008
11.6,25934.0,0.158,0.002
3.35,89490.0,0.261,0.006
102.0,2940.6,1.38,
61.8,4847.1,1.18,
23.9,12554.0,0.342,
22.1,13571.0,0.455,
11.6,25934.0,0.172,
4.6,65172.0,0.2,
3.35,89490.0,0.261,
2.16,138550.0,0.36,
1.65,181750.0,0.336,
1.24,241960.0,0.253,
102.0,2940.6,0.962,
61.8,4847.1,0.331,
23.9,12554.0,0.0659,
11.6,25866.0,0.0509,
0.909,329800.0,0.0869,0.0017
0.909,329800.0,0.0892,0.0016
0.771,388700.0,0.0754,0.0022
0.771,388700.0,0.0775,0.0018
0.604,496300.0,0.0574,0.0017
0.604,496300.0,0.0586,0.0017
0.497,603400.0,0.0357,0.0016
0.497,603400.0,0.0353,0.002
0.387,774500.0,0.00519,0.00032
0.387,774500.0,0.00497,0.00035
0.35,857000.0,0.00186,0.00013
0.35,857000.0,0.00186,0.0001
2.13,140500.0,0.0628,0.0
1.25,240530.0,0.0892,0.0
4.6,65172.0,0.199,0.0
3.35,89490.0,0.244,0.0
4.6,65172.0,0.21,0.002
3.35,89490.0,0.309,0.003
23.7,12663.0,0.369,0.0
22.1,13571.0,0.439,0.01
11.6,25934.0,0.168,0.002
4.6,65172.0,0.195,0.004
3.35,89490.0,0.265,0.007
2.16,138550.0,0.353,0.008
1.65,181750.0,0.33,0.013
0.543,552050.0,0.0434,0.0001
0.451,665350.0,0.0158,0.0
0.212,1414800.0,0.000563,1.5e-05
0.909,329800.0,0.0893,0.0016
0.909,329800.0,0.089,0.0011
0.771,388700.0,0.0736,0.0017
0.771,388700.0,0.075,0.0018
0.604,496300.0,0.0554,0.0013
0.604,496300.0,0.0562,0.0013
0.497,603400.0,0.0343,0.001
0.497,603400.0,0.0346,0.001
0.387,774500.0,0.00511,8e-05
0.387,774500.0,0.00516,7e-05
0.35,857000.0,0.002,3e-05
0.35,857000.0,0.00202,3e-05
0.554,541430.0,0.0355,0.003
0.444,674900.0,0.0292,0.011
4.49,66724.0,0.216,
1.24,241960.0,0.25,0.005
0.673,445460.0,0.0575,
0.673,445460.0,0.0602,
0.673,445460.0,0.0619,
0.673,445460.0,0.0619,0.0003
0.554,541430.0,0.0446,
0.554,541430.0,0.0461,0.021
0.554,541430.0,0.0709,
2.19,136890.0,0.352,0.006
0.673,445460.0,0.134,0.002
0.673,445460.0,0.0327,0.0006
0.554,541430.0,0.0538,
0.444,674900.0,0.0237,
18.4,16302.0,0.3,
11.6,25866.0,0.17,
3.35,89490.0,0.271,
0.554,541430.0,0.0541,
0.444,674900.0,0.0222,
0.673,445460.0,0.0305,0.0008
